alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Saucisse de Morteau bouillie/cuite à l'eau;323;15.2;0;29.1;0
Saucisse de Toulouse crue;321;13.3;0.64;29.5;0
Chipolata crue;253;15.8;1;20.6;0.4
Saucisse alsacienne fumée ou gendarme;300;19;0;24.9;0
Saucisse de volaille façon charcutière;239;15.6;1.14;19.1;0
Saucisse de volaille type knack;236;14;1.82;18.9;0
Saucisse de Francfort;279;13.7;3.37;23.4;0
Merguez crue;301;13.8;1.15;26.8;0
Merguez crue (aliment moyen);381;12.8;0;36.3;0
Merguez, pur boeuf, crue;436;11;0;43.5;0
Merguez, boeuf et porc, crue;415;11.5;0;41;0
Merguez, boeuf, mouton et porc, crue;358;14.6;0;33.3;0
Merguez, boeuf et mouton, cuite;283;19.8;1.8;21.8;0
Merguez, boeuf et mouton, crue;315;14;2.8;27.6;0
Saucisse de foie;374;11.7;0.9;35.9;0.3
Diot cru;342;18;0;30;0
Haché végétal à base de soja, préemballé;143;11.5;7.01;5.8;5.23
Saucisson sec;418;24.2;5.48;33.1;0.73
Saucisson sec pur porc;417;28.7;1.79;32.3;0
Saucisson sec pur porc, qualité supérieure;368;27.7;2.1;27.6;0
Rosette ou fuseau;392;24.2;4.86;30.7;0
Saucisson sec de Lyon pur porc;255;12.8;0.83;22;1
Saucisse sèche;460;27.3;4.04;37.1;0.59
Saucisson sec aux noix et/ou noisettes;477;27.7;1.78;39.7;0.75
Pavé au poivre (charcuterie);374;23.5;1.51;30.3;0.83
Saucisson sec allégé en matière grasse;286;34.6;1.57;15.7;0.5
Chorizo;425;23.5;1.24;36.1;0.93
Chorizo supérieur, doux ou fort, type saucisse sèche;474;20.9;1.87;41.9;0.53
Chorizo supérieur, doux ou fort, type charcuterie en tranches;320;22.6;1.47;23.9;0.3
Salami;457;17.7;2.59;41.8;0
Salami pur porc;446;17;0.75;41.5;0.5
Salami type danois;455;14.5;2.42;43;0
Saucisson à l'ail;276;15;0.56;23.6;0.63
Saucisson pur porc cuit;322;13.8;1.3;29;0
Saucisson brioché, cuit;303;14.7;20.9;17.4;2
Cervelas;278;11.9;1.56;24.8;0.4
Cervelas obernois;305;13;1;27.5;0.6
Cervelas à l'ail, pur porc;297;12.5;0.2;27.4;0
Saucisse de Strasbourg ou knack, à cuire;291;12.4;1.39;25.9;1.37
Saucisse de Strasbourg ou knack, à teneur réduite en sel, à cuire;284;12;1.5;25.3;0.8
Saucisse cocktail;290;12.7;1.46;25.9;0.27
Saucisse viennoise crue;233;10.3;0;21.3;0
Saucisse de jambon pur porc;236;15.7;3.96;17.5;0
Saucisse de bière;319;13;0;29.7;0
Saucisse de langue à la pistache;294;15.3;0;25.8;0
Saucisse (aliment moyen);286;17.4;1.22;23.4;0.24
Mortadelle;310;15.2;0.69;27.4;0
Mortadelle, pur porc;310;14.8;4.46;25.8;0
Mortadelle, porc et boeuf;304;16.4;2.53;25.4;0
Mortadelle pistachée pur porc;317;14.4;0.42;28.2;1.97
Saucisson de cheval type cervelas;244;14.2;1.4;20;0
Gelée, autres fruits ou mélange de fruits (extra ou classique);252;0.1;61.9;0.1;1.25
Confiture, autres fruits ou mélange de fruits, allégée en sucres (extra ou classique);162;0.75;38;0.21;1.8
Marmelade ou confiture d'autres agrumes ou mélange d'agrumes (extra ou classique);243.1;0.33;59.5;0.2;0.99
Marmelade ou confiture d'orange, allégée en sucres;166.03;0.25;40.6;0.06;1.03
Charcuterie (aliment moyen);241;18.6;1.94;17.5;0.27
Confiture de mûre (extra ou classique);245;0.44;58.3;0.63;1.3
Gelée de mûre (extra ou classique);245;0.53;60;0.28;0.73
Confiture de rhubarbe (extra ou classique);239;0.26;58.6;0.06;1.53
Confiture de pêche (extra ou classique);242;0.27;59.5;0.07;1.16
Confiture de figue (extra ou classique);243;0.63;59.1;0.17;1.31
Confiture de fraise, allégée en sucres;166;0.31;40.3;0.1;1.37
Confiture d'abricot, allégée en sucres;167;0.41;40.5;0.07;1.33
Confiture de framboise, allégée en sucres;167;0.68;39.2;0.14;2.98
Gelée de framboise (extra ou classique);249;0.56;61;0.1;0.86
Confiture ou marmelade, tout type de fruits, sans précision sur la teneur en sucres (aliment moyen);235;0.36;57.1;0.27;1.34
Barre chocolatée biscuitée;492;5.56;61.4;24.1;3.7
Barre chocolatée non biscuitée enrobée;496;3.7;66.4;24.1;0.6
Barre à la noix de coco, enrobée de chocolat;475;3.88;60.2;23.8;3
Chocolat au lait, tablette;550;7.5;58.9;30.8;2.9
Chocolat noir 50 % de cacao environ, tablette;521;5.98;53;29.6;8.31
Confiture ou marmelade ou gelée, tout type de fruits, non allégée en sucres (aliment moyen);244;0.33;59.3;0.28;1.29
Chewing-gum, sucré;360;0.25;86.4;0.65;4
Miel;331;0.65;82.1;0;0
Chocolat au lait aux céréales croustillantes, tablette;515;7.15;60.6;26.6;2.59
Chocolat blanc, tablette;563;6.16;57.1;34.2;1
Barre ou confiserie chocolatée au lait;551;8.75;50.9;34.2;1.7
Sorbet, bâtonnet;103;0.23;24.8;0.28;0.34
Pâte de fruits;336;1.69;76.6;1.8;3.9
Sucre blanc;399;0;99.7;0;0
Sucre roux;393;0.12;98.1;0;0
Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette;559;8.43;48.7;35.9;3.52
Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette;487;5.75;54.2;34.6;2
Ecorce d'orange confite;307;0.59;75.6;0.08;1.1
Marron glacé;320;0.89;77.5;0.54;2.67
Confiture de fraise (extra ou classique);248;0.25;60.5;0.5;0.7
Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette;579;7.64;48;39.1;2.43
Fruit confit;297;0.25;72.4;0.06;3.3
Bonbon dragéifié;378;0.53;89.9;1.94;0.13
Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette;525;8.48;34.1;42.3;10.2
Pâte à tartiner chocolat et noisette;549;5.02;57.9;32.4;3.23
Sirop d'érable;269;0.04;67.2;0.06;0
Barre glacée chocolatée;354;4.79;37;20.5;1.36
Dragée amande;465;5.25;75.7;14.7;4.6
Confiture d'abricot (extra ou classique);246;0.25;59.7;0.3;1.1
Confiture de cerise (extra ou classique);238;0.48;58.1;0.19;1.1
Marmelade d'orange ou confiture d'orange (extra ou classique);245;0.25;59.3;0.4;1.5
Confiture de lait;340;6.84;61.7;7.35;0
Confiserie au chocolat dragéifiée;505;5.49;64.9;24.3;1.98
Cacahuète enrobée de chocolat dragéifiée;499;9.5;55.9;25;5.9
Sucre vanillé;397;0.1;98.6;0.33;0.37
Caramel liquide ou nappage caramel;324;0;81;0;0
Gélifiant pour confitures;278;0;62;0;15
Guimauve ou marshmallow;336;3.31;80.7;0.08;0.01
Praline;483;8.7;67.7;19.7;0
Confiture de prune, par ex. mirabelle, quetsche, reine-claude (extra ou classique);240;0.28;58.9;0.09;1.27
Chewing-gum, sans sucres;206;0.22;76;0.25;1.95
Bonbon dur et sucette;384;0.16;95.3;0.18;0.91
Bonbon gélifié;339;4.88;76.9;0.53;1.5
Confiture de framboise (extra ou classique);232;0.56;55.2;0.17;2.69
Bouchée chocolat fourrage fruits à coques et/ou praliné;558;9.1;51.5;34.7;2.1
Édulcorant à la saccharine;5;1.25;0;0;0
Rocher chocolat fourré praliné;558;6.53;51.4;35.3;3.88
Mélasse de canne;300;0;74.7;0.1;0
Confiture de myrtille (extra ou classique);245;0.25;58.9;0.4;2.1
Chocolat noir aux fruits (orange, framboise, poire), tablette;539;6.8;45.3;34.4;10.3
Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette;567;8.69;40.7;39;8.4
Barre chocolatée aux fruits secs;494;7.23;57.6;26;1.53
Chocolat noir fourrage confiseur à la menthe;445;2.9;70.2;16;4
Gâteau moelleux fourré au chocolat et au lait, enrobé de chocolat, préemballé, rayon frais;449;5.95;42.4;28;1.6
Chocolat noir 70 % de cacao environ, de dégustation, tablette;591;10.4;26.9;46.3;12.8
Edulcorant à base de sucre et aspartame (petits morceaux);398;0.81;98.7;0;0
Fructose;399;0;99.8;0;0
Chocolat noir fourré praliné, tablette;559;6.38;52.4;34.8;5.07
Bonbon tendre, au caramel;415;2.23;79.1;9.98;0.19
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures);195;0.48;47.3;0.17;1.94
Confiture, autres fruits ou mélange de fruits (extra ou classique);244;0.36;59.8;0.15;1.47
Chocolat au lait fourré au praliné, tablette;559;7.29;52.9;34.9;2.51
Chocolat noir 40% de cacao et plus, à pâtisser, tablette;546;6.39;51.4;33.1;8.76
Édulcorant à base d'extrait de stévia;1.2;0.16;0.3;0;0
Sirop d'agave;317.5;0.25;78;0.5;0
Bouchée/bonbon au chocolat fourrage gaufrettes ou biscuit;521;6.5;55.1;29.4;4.92
Calisson d'Aix en Provence;440;7.97;59.8;18;3.1
Guimauve ou marshmallow, enrobé de chocolat;383;4.4;67.5;10.5;0.45
Bonbon dur, au caramel;416;1.33;86.6;7.09;0.13
Gelée de groseille (extra ou classique);244;0.25;59.7;0.04;0
Bonbon tendre;392;0.94;84.3;5.1;1.5
Barre chocolat au lait avec nougat;532;5.8;60.5;29;2.9
Barre céréalière pour petit déjeuner au lait, au chocolat ou non, enrichie en vitamines et minéraux;382;7.06;79.5;3.2;4.5
Barre céréalière "équilibre" aux fruits, enrichie en vitamines et minéraux;382;6.13;73.3;6.53;4.13
Barre céréalière "équilibre" au chocolat, enrichie en vitamines et minéraux;407;5.99;70.3;10.9;3.7
Barre céréalière diététique hypocalorique;391;5.9;71;11.2;5.8
Barre céréalière au chocolat;451;6.55;73;14.9;4.5
Gelée royale;88;13;0;4;0
Pollen, partiellement séché;358;21.9;52.5;4.2;11.3
Pollen, frais;304;17.5;42.3;5.17;9.07
Bonbon gélifié à la réglisse, type rouleau ou batonnet;347;3.62;75.6;1.55;8.18
Barre céréalière aux fruits;379;5.49;74.1;7.07;3.8
Barre céréalière aux amandes ou noisettes;444;8.69;60.6;18.2;4.6
Barre céréalière au chocolat et aux fruits;419;5.7;70.4;11.8;4.04
Chocolat, tablette (aliment moyen);552;7.57;50.4;34.2;5.96
Chewing-gum, sans précision sur la teneur en sucres (aliment moyen);263;0.23;79.9;0.4;2.71
Bonbon tendre, au caramel enrobé de chocolat;446;3.29;69.6;16.8;1.8
Bonbon dur type collier, sifflet, sucette, pastille, au dextrose;376;0.02;91.1;1.35;0
Pastille rafraîchissante, sans sucres;241;0.08;96.3;0.65;0.4
Pastille rafraîchissante, sucrée;390;0.13;96.7;0.37;0.27
Nougat tendre;437;6.98;69.3;13.9;3.27
Bonbon dur et sucette, sans sucres;235;0.08;96;0.44;0
Préparation aux fruits divers (35% de fruits min, sucres et autre(s) ingrédient(s));204;0.81;47.4;0.75;2.8
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;390;7.31;82.8;2;5
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;393;8.19;74.7;5.1;7.1
Céréales pour petit déjeuner (aliment moyen);402;7.96;73.2;7.21;5.99
Muesli (aliment moyen);433;8.87;63.4;14.3;6.9
Pétales de maïs nature, enrichis en vitamines et minéraux;368;6.88;80;1;5.5
Riz soufflé nature, enrichi en vitamines et minéraux;388;6.66;86.3;1.2;2
Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux;389;9.23;71.9;4.7;9.7
Riz soufflé chocolaté, non enrichi en vitamines et minéraux;387;5.96;83.3;2.3;3.9
Céréales pour petit déjeuner chocolatées, non fourrées, non enrichies en vitamines et minéraux;387;8.63;77.7;3.2;6.1
Pétales de maïs nature, non enrichis en vitamines et minéraux;372;6.88;82.4;0.7;4.6
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;440;7.06;67;15;4.4
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, non enrichies en vitamines et minéraux;457;7;67.2;17.2;2.3
Céréales pour petit déjeuner fourrées au lait ou à la vanille, enrichies en vitamines et minéraux;429;10.4;63.9;13.4;4.9
Pétales de céréales au chocolat, avec ou sans fruits à coque, enrichis en vitamines et minéraux;399;8;74.5;6.3;6
Pétales de céréales aux fruits, enrichis en vitamines et minéraux;377;8.1;80.6;1.58;4.25
Pétales de céréales aux fruits à coque, enrichis en vitamines et minéraux;392;8.18;73.5;5.53;6.43
Pétales de céréales au chocolat, avec ou sans fruits à coque, non enrichis en vitamines et minéraux;413;7.63;73.6;8.4;4.9
Pétales de céréales aux fruits, non enrichis en vitamines et minéraux;378;8.36;79.7;1.62;5.44
Pétales de céréales, nature, sucrées, enrichies en vitamines et minéraux;372;8.5;77.7;1.5;6
Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen);408;7.71;72.8;8.2;5.75
Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen);386;8.43;77.1;3.39;6.05
Céréales pour petit déjeuner riches en fibres, aux fruits ou fruits à coque, enrichies en vitamines et minéraux;395;8.63;64.5;9;9.5
Céréales pour petit déjeuner riches en fibres, aux fruits ou fruits à coque, non enrichies en vitamines et minéraux;374;8.53;71.1;3.93;9.9
Céréales pour petit déjeuner riches en fibres, nature, enrichies en vitamines et minéraux;361;11.9;67.7;2.13;11.6
Céréales pour petit déjeuner riches en fibres, nature, non enrichies en vitamines et minéraux;368;8.48;74.8;1.85;9.4
Céréales pour petit déjeuner au chocolat et caramel, extrudées, enrichies en vitamines et minéraux;410;8.06;74.7;7.2;6.4
Céréales pour petit déjeuner au chocolat et caramel, extrudées, non enrichies en vitamines et minéraux;394;9.13;76.2;4.43;6.6
Céréales pour petit déjeuner fourrées au lait ou à la vanille, non enrichies en vitamines et minéraux;440;7.94;67.5;14.5;3.4
Grains de blé soufflés au miel ou caramel, non enrichis en vitamines et minéraux;382;8.93;77.6;2.52;6.53
Mélange de flocons de céréales, nature, non enrichi en vitamines et minéraux;341;10.2;61.7;3.17;12.4
Pétales de céréales, nature, sucrées, non enrichies en vitamines et minéraux;377;8;80.1;1.5;5.7
Pétales de céréales, nature, sans sucres ajoutés, non enrichies en vitamines et minéraux;369;12.2;70.2;2.78;7.28
Pétales de maïs glacés au sucre, non enrichis en vitamines et minéraux;381;6.22;85.4;0.96;2.8
Muesli croustillant aux fruits, avec ou sans fruits à coque et/ou graines, non enrichi en vitamines et minéraux;442;8.69;62.7;15.7;7.1
Muesli croustillant au chocolat, non enrichi en vitamines et minéraux;446;9.25;64.7;15.1;6.8
Muesli floconneux aux fruits, fruits à coque et/ou graines, enrichi en vitamines et minéraux;378;9.5;68.9;5.3;7.4
Muesli croustillant aux fruits, avec ou sans fruits à coque et/ou graines, enrichi en vitamines et minéraux;464;8.38;60.4;19.4;6.7
Muesli croustillant au chocolat, enrichi en vitamines et minéraux;469;8;61.9;19.7;5.3
Muesli floconneux aux fruits, fruits à coque et/ou graines, sans sucres ajoutés, non enrichi;374;10.3;59.8;8.1;8.9
Céréales pour petit déjeuner très riches en fibres, nature, enrichies en vitamines et minéraux;327;13.4;43.3;3.8;33.1
Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;381;4.25;88.6;0.5;2.3
Boules de maïs soufflées au miel, non enrichies en vitamines et minéraux;389;5.84;87.3;1.41;2.01
Blé khorasan complet soufflé;378;6.68;80.5;1.96;4.4
Riz soufflé chocolaté, enrichi en vitamines et minéraux;382;6.75;81.8;2;4.5
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;384;5.63;86.6;0.9;3.2
Muesli floconneux aux fruits, fruits à coque et/ou graines, non enrichi en vitamines et minéraux;371;10.6;60.9;7;9.8
Muesli enrichi en vitamines et minéraux (aliment moyen);436;8.78;63.6;14.6;6.77
Flocons d'avoine;369;10.6;57.7;7.82;11.2
Muesli non enrichi en vitamines et minéraux (aliment moyen);409;9.63;61.8;11.6;8.36
Céréales pour petit déjeuner au miel ou caramel, soufflées ou extrudées, enrichies en vitamines et minéraux;388;7.44;75.4;4.6;6.3
Céréales pour petit déjeuner au miel ou caramel, soufflées ou extrudées, non enrichies en vitamines et minéraux;382;6.73;80.1;2.78;5.03
Muesli croustillant aux fruits à coque et/ou graines uniquement, enrichi en vitamines et minéraux;433;9.77;63.3;13.8;8.27
Muesli croustillant aux fruits à coque et/ou graines uniquement, non enrichi en vitamines et minéraux;450;10;61.2;16.5;6.7
Lapin, viande braisée;197;30.4;0;8.41;0
Lapin, viande crue;188;20.4;0.58;11.6;0
Lapin, viande cuite;167;20.5;0.5;9.2;0
Lapin de garenne, viande crue;108;21.8;0;2.32;0
Lapin de garenne, viande cuite;164;33;0;3.51;0
Grenouille, cuisse, crue;70;16.2;0.66;0.28;0
Grenouille, cuisse, grillée/poêlée;95.7;21.9;0.01;0.9;0
Poule, viande et peau crues;255;17.6;0.4;20.3;0
Poule, viande crue;142;21.3;0;6.32;0
Poulet, cuisse, viande et peau crue;192;17.3;0;13.5;0
Poulet, viande crue;109;20.9;0;2.89;0
Poulet, cuisse, viande et peau rôtie/cuite au four;205;25.9;0;11.3;0
Poulet, viande et peau rôties/cuites au four;204;28.9;0;9.88;0
Poulet, cuisse, viande rôtie/cuite au four;171;24.8;0;8.03;0
Poulet blanc, viande et peau crues;122;20.8;0;4.3;0
Poulet fermier, viande et peau crues;120;22;0;3.5;0
Poule, cuisse crue;131;19.6;0;5.92;0
Poulet, viande et peau crues;173;21.5;0.3;9.54;0
Poulet, filet sans peau cru;110;23.4;0;1.5;0
Poulet, filet sans peau grillé/poêlé;141;30.1;0;2;0
Poulet, haut de cuisse, viande crue;116;19.7;0;4.12;0
Poulet éviscéré sans abats, cru;210;18.6;0;15.1;0
Poulet, pilon cru;155;18.1;0;9.2;0
Poulet, aile, viande et peau crues;181;20.4;0;11;0
Poulet, cuisse, viande crue;114;19.3;0;4.05;0
Nuggets ou croquette panée de poulet, préemballé;250;15.6;19.4;11.6;2.4
Poulet, poitrine, viande et peau crues;167;20.9;0;9.25;0
Poulet, cuisse, viande bouillie/cuite à l'eau;188;24.8;0.7;9.52;0
Poulet, cuisse, viande et peau bouillie/cuite à l'eau;187;26.1;0;9.1;0
Poulet, poitrine, viande et peau rôties/cuites au four;189;29.8;0;7.78;0
Poulet, aile, viande et peau rôties/cuites au four;247;23.8;0;16.9;0
Poulet, manchons marinés, préemballés, rôtis/cuits au four;213;22.4;2.1;12.6;0.9
Escalope panée, viennoise ou milanaise, poulet, cuite;339;7.25;21.7;24;3.4
Poulet, cuisse, viande et peau crues bio;193;18.1;0;13.3;0
Poulet, cuisse, viande et peau crues label rouge;173;19.1;0;10.6;0
Poulet, filet sans peau cru, bio;118;24.6;0;1.8;0
Poulet, filet sans peau cru, label rouge;113;25.2;0;1;0
Poulet, filet sans peau grillé/poêlé, bio;144;31.1;0;1.8;0
Volaille, viande cuite (aliment moyen);152;27.8;0.03;4.36;0
Chapon, viande et peau crues;195;19.9;0;12.8;0
Chapon, viande et peau rôties/cuites au four;221;29;0;11.7;0
Caille, viande et peau crues;140;19.6;0;6.8;0
Caille, viande crue;128;21.8;0;4.53;0
Caille, viande et peau cuites;206;26.8;0;10.9;0
Canard, viande et peau rôties/cuites au four;331;19;0;28.4;0
Canard, viande crue;127;18.3;0;5.95;0
Canard, viande rôtie/cuite au four;194;23.3;0;11.2;0
Canard, cuisse avec peau, sans os, crue;104;18.7;0.3;3.1;0
Canard, viande et peau crues;273;17.4;0;22.6;0
Canard, magret grillé/poêlé;188;26.7;0;9.05;0
Canard, magret cru;337;17.9;0.1;29.4;0
Dinde, viande et peau crues;137;21.6;0;5.64;0
Dinde, viande crue;108;22.6;0;1.93;0
Dinde, viande rôtie/cuite au four;151;29.1;0;3.84;0
Dinde, escalope crue;108;23.7;0;1.48;0
Dinde, cuisse, viande et peau crues;149;19.7;0;7.85;0
Dinde, escalope grillée/poêlée;124;28.5;0;1.09;0
Dinde, cuisse, viande crue;108;21.3;0;2.5;0
Dinde, escalope rôtie/cuite au four;139;30.1;0;2.08;0
Dinde, aile crue;192;20.2;0;12.3;0
Dinde, haut de cuisse cru;33.21;0;0;3.69;0
Escalope panée, viennoise ou milanaise, dinde, cuite;211;14.1;13.5;10.9;1.3
Faisan, viande crue;126;23.2;0;3.73;0
Faisan, viande rôtie/cuite au four;239;32.4;0;12.1;0
Faisan, viande et peau crues;164;23.2;0;7.95;0
Oie, viande crue;155;22.8;0;7.13;0
Oie, viande et peau crues;366;15.9;0;33.6;0
Oie, viande rôtie/cuite au four;230;29;0;12.7;0
Oie, viande et peau rôties/cuites au four;298;25.2;0;21.9;0
Pigeon, viande crue;213;18;0;15.7;0
Pigeon, viande rôtie/cuite au four;213;23.9;0;13;0
Gibier à plumes, viande, cuit (aliment moyen);203;24.9;0;11.5;0
Pintade, viande crue;128;22;0;4.46;0
Pintade, poitrine crue;107;25.1;0;0.7;0
Pintade, cuisse crue;118;22.8;0.2;2.9;0
Autruche, viande crue;159;20.2;0;8.7;0
Autruche, viande cuite;168;26.2;0;7.07;0
Volaille, cuite (aliment moyen);167;27.3;0.03;6.37;0
Base de pizza (pâte et sauce à la crème), crue;261;7.7;51.1;2.6;1
Pâte à pizza, préemballée, crue;240;7.05;44.2;3.45;2.2
Base de pizza (pâte et sauce à la tomate), crue;232;6.9;44.6;2.7;1
Chips, beignet ou pétale à la crevette;508;3.1;63.7;26.6;1
Chips de maïs ou tortilla chips, aromatisé;499;6.53;59.1;25.4;4.16
Biscuit ou cracker apéritif, soufflé, goût pomme de terre;475;4.59;60.6;23;3.74
Biscuit ou cracker apéritif, mini bretzel ou sticks;376;11.2;73.7;3.13;4.32
Biscuit apéritif, mini-chou fourré, préemballé;651;9.75;28.2;54.7;1.44
Biscuit ou cracker apéritif (aliment moyen);480;10.2;61.2;20.9;3.34
Biscuit ou cracker apéritif, à base de blé, au fromage;519;14.8;47;29.4;3.86
Biscuit ou cracker apéritif, à base de blé, nature ou aromatisé;499;10.4;59.1;23.8;3.12
Biscuit ou cracker apéritif, à base de blé, nature, allégé en matière grasse;410;6.53;73.1;9.33;3.67
Biscuit ou cracker apéritif, soufflé, goût cacahuète;487;13.3;54.8;22.9;3.99
Biscuit ou cracker apéritif, tuile, à base de pomme de terre;521;4.63;59.1;28.8;3.31
Cacahuète enrobée d'un biscuit salé ou aromatisé, pour apéritif;518;15.8;45.4;29.7;3.18
Biscuit ou cracker apéritif, feuilleté (flûtes, torsades, palmiers…), sans fromage;476;10.9;59.7;20.7;3.68
Biscuit apéritif, crêpe dentelle fourrée, préemballée;555;9.3;48.8;35.6;1.25
Biscuit ou cracker apéritif, feuilleté (flûtes, torsades, palmiers…), au fromage;524;13.1;50.2;29.6;2.2
Biscuit ou cracker apéritif, à base de blé, assortiment;501;8.88;58.2;25.3;2.78
Biscuit ou cracker apéritif, gaufrette fourrée;585;10.4;39.6;42.4;2.19
Gressin, au sésame;443;12.8;59.3;15.7;4.64
Gressin, au sésame, allégé en matière grasse;427;14;56.8;13.9;6.77
Biscuit ou cracker apéritif, à base de riz et cacahuètes enrobées, mélange japonais;409;10.8;72;8.27;1.94
Chips de maïs ou tortilla chips, nature;488;6.1;62.6;22.5;4.33
Biscuit ou cracker apéritif, soufflé, goût bacon;513;6.5;62.2;25.9;2.45
Biscuit ou cracker apéritif, soufflé, nature;464;7.17;64;19.2;3.53
Biscuit ou cracker apéritif, soufflé, goût fromage;510;7.29;57.6;27.3;2.64
Biscuit ou cracker apéritif, soufflé, sans précision (aliment moyen);535;10.5;48.8;32.6;2.12
Croûton, à l'ail, aux fines herbes ou aux oignons, préemballé;484;8.87;59;22.9;3.37
